"GRID_ID","X_COORDINATE_CENTER","Y_COORDINATE_CENTER","INJURED_LEVEL1","INJURED_LEVEL2","INJURED_LEVEL3","INJURED_LEVEL4"
"10582189","28.91","41.04","116.430212109","64.5579673138","15.4894648797","24.2683557462"
"11242069","28.31","41.37","0","0","0","0"
"11302076","28.345","41.4","0","0","0","0"
"10932270","29.315","41.215","0","0","0","0"
"10872063","28.28","41.185","0","0","0","0"
"10662308","29.505","41.08","0","0","0","0"
"10732168","28.805","41.115","0.791869128596","0","0","0"
"11072065","28.29","41.285","0","0","0","0"
"11022105","28.49","41.26","0","0","0","0"
"11002065","28.29","41.25","0","0","0","0"
"10892068","28.305","41.195","0","0","0","0"
"11412073","28.33","41.455","0","0","0","0"
"10902294","29.435","41.2","0","0","0","0"
"10582338","29.655","41.04","0","0","0","0"
"10542186","28.895","41.02","45.2967917689","26.1415125193","7.81493573135","9.86738056864"
"10782241","29.17","41.14","0","0","0","0"
"10702233","29.13","41.1","0","0","0","0"
"10252260","29.265","40.875","12.8074965912","5.73602175851","0.671663368373","1.66599628114"
"10752193","28.93","41.125","0","0","0","0"
"10512175","28.84","41.005","261.059864702","143.488552192","29.4427285386","54.7410492961"
"10902013","28.03","41.2","0","0","0","0"
"10752244","29.185","41.125","0","0","0","0"
"10732039","28.16","41.115","0","0","0","0"
"10792369","29.81","41.145","0","0","0","0"
"10892047","28.2","41.195","0","0","0","0"
"10672253","29.23","41.085","0","0","0","0"
"10882170","28.815","41.19","0","0","0","0"
"11312051","28.22","41.405","0","0","0","0"
"10632230","29.115","41.065","0","0","0","0"
"10852334","29.635","41.175","0","0","0","0"
"11022096","28.445","41.26","0","0","0","0"
"11282092","28.425","41.39","0","0","0","0"
"11112062","28.275","41.305","0","0","0","0"
"10652057","28.25","41.075","28.0010824612","12.6793138763","2.43499503957","4.32939378776"
"11352036","28.145","41.425","0","0","0","0"
"11382084","28.385","41.44","0","0","0","0"
"10612148","28.705","41.055","0","0","0","0"
"10532128","28.605","41.015","31.8321873646","15.7888953295","3.01664194786","5.54203904422"
"11452045","28.19","41.475","0","0","0","0"
"10772203","28.98","41.135","0","0","0","0"
"10462143","28.68","40.98","50.8439983028","29.652568866","6.03392216731","11.3658583328"
"11252035","28.14","41.375","0","0","0","0"
"10902022","28.075","41.2","0","0","0","0"
"11082103","28.48","41.29","0","0","0","0"
"10632139","28.66","41.065","21.3785775832","10.2547649273","1.95879710152","3.67085140693"
"10922074","28.335","41.21","0","0","0","0"
"10512126","28.595","41.005","0","0","0","0"
"10692335","29.64","41.095","0","0","0","0"
"10562379","29.86","41.03","0","0","0","0"
"10622144","28.685","41.06","10.865278502","5.11212629092","0.418424276028","1.68632014926"
"10642048","28.205","41.07","0.588512340324","0","0","0"
"10562256","29.245","41.03","0","0","0","0"
"10402229","29.11","40.95","18.8506525034","8.88330856114","1.47455883432","3.21430490902"
"10702059","28.26","41.1","0","0","0","0"
"10712098","28.455","41.105","0","0","0","0"
"10702225","29.09","41.1","1.42278805289","0","0","0"
"11172048","28.205","41.335","0","0","0","0"
"11112160","28.765","41.305","0","0","0","0"
"10862088","28.405","41.18","0","0","0","0"
"10562217","29.05","41.03","5.66161970157","2.36262261224","0","0.424213576387"
"10742346","29.695","41.12","0","0","0","0"
"10512296","29.445","41.005","0","0","0","0"
"10772152","28.725","41.135","0","0","0","0"
"10952152","28.725","41.225","0","0","0","0"
"11102134","28.635","41.3","0","0","0","0"
"10622293","29.43","41.06","0","0","0","0"
"10972013","28.03","41.235","0","0","0","0"
"11192028","28.105","41.345","0","0","0","0"
"10782029","28.11","41.14","0","0","0","0"
"11142089","28.41","41.32","0","0","0","0"
"11012159","28.76","41.255","0","0","0","0"
"11062051","28.22","41.28","0","0","0","0"
"10592185","28.89","41.045","0","0","0","0"
"10662329","29.61","41.08","0","0","0","0"
"11312042","28.175","41.405","0","0","0","0"
"10622188","28.905","41.06","20.3991479625","9.49855793825","1.95548064064","3.35807116286"
"10472233","29.13","40.985","5.25326579581","2.43227364042","0","0.487876950292"
"10702254","29.235","41.1","0","0","0","0"
"10722234","29.135","41.11","0","0","0","0"
"10242270","29.315","40.87","8.30112461582","4.21766169001","0","1.11554566886"
"10412229","29.11","40.955","22.1942203742","10.4118727448","2.07518722392","3.80333000654"
"11172095","28.44","41.335","0","0","0","0"
"10852164","28.785","41.175","0","0","0","0"
"10732111","28.52","41.115","0","0","0","0"
